Filename,Alicat
SMR_28Jul2017_GYE.exp,749
SMR_28Jul2017_GYR.exp,758
SMR_30Jul2017_RLE.exp,751
SMR_30Jul2017_RLB.exp,754
SMR_1Aug2017_LDE.exp,748
SMR_1Aug2017_LDR.exp,748
SMR_4Aug2017_DGE.exp,754
SMR_4Aug2017_DGEE.exp,755
SMR_4Aug2017_DGR.exp,749
SMR_30Jul2017_RLLL.exp,753
SMR_30Jul2017_RLL.exp,751
SMR_30Jul2017_RLW.exp,739
SMR_1Aug2017_LDL.exp,751
SMR_1Aug2017_LDLL.exp,749
SMR_1Aug2017_LDW.exp,746
SMR_1Aug2017_LDWW.exp,748
SMR_2Aug2017_YRL.exp,745
SMR_2Aug2017_YRWW.exp,749
SMR_2Aug2017_YRW.exp,750
SMR_30Jul2017_RLD.exp,741
